Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
29,30,1,2,3,4,5,,,,,,,,,,,,,,,,,
6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,
13,14,15,16,17,18,19,,,,,,,,,,,,,,,,,
20,21,22,23,24,25,26,,,,,,,,,,,,,,,,,
27,28,29,30,31,1,2,,,,,,,,,,,,,,,,,
29,30,1,2,3,4,5,,,,,,,,,,,,,,,,,
6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,
13,14,15,16,17,18,19,,,,,,,,,,,,,,,,,
20,21,22,23,24,25,26,,,,,,,,,,,,,,,,,
27,28,29,30,31,1,2,,,,,,,,,,,,,,,,,
BOS,BOS @ TOR,10/15/2024,L,240,118,38,92,41.3,18,55,32.7,24,28,85.7,8,28,36,19,10,5,7,15,-1
CHA,CHA @ NYK,10/15/2024,L,240,105,37,97,38.1,18,49,36.7,13,15,86.7,12,33,45,22,8,5,13,19,-6
TOR,TOR vs. BOS,10/15/2024,W,240,119,46,92,50.0,15,43,34.9,12,13,92.3,12,45,57,34,6,0,21,25,1
NOP,NOP @ HOU,10/15/2024,L,240,98,36,96,37.5,9,37,24.3,17,20,85.0,11,36,47,25,6,5,11,17,-20
MIA,MIA vs. SAS,10/15/2024,W,240,120,40,86,46.5,14,45,31.1,26,34,76.5,7,29,36,31,15,6,9,23,3
SAS,SAS @ MIA,10/15/2024,L,240,117,44,79,55.7,9,30,30.0,20,29,69.0,8,42,50,28,7,2,21,24,-3
NYK,NYK vs. CHA,10/15/2024,W,240,111,42,97,43.3,16,45,35.6,11,15,73.3,17,42,59,28,3,2,15,17,6
OKC,OKC @ DEN,10/15/2024,W,240,124,47,94,50.0,17,46,37.0,13,20,65.0,8,36,44,31,15,5,12,23,30
DEN,DEN vs. OKC,10/15/2024,L,240,94,35,84,41.7,10,40,25.0,14,25,56.0,12,35,47,25,6,3,24,18,-30
HOU,HOU vs. NOP,10/15/2024,W,240,118,46,97,47.4,12,37,32.4,14,27,51.9,16,46,62,30,8,5,12,13,20
SAC,SAC @ UTA,10/15/2024,L,240,114,45,105,42.9,10,38,26.3,14,19,73.7,20,24,44,32,16,2,11,24,-3
LAL,LAL vs. GSW,10/15/2024,L,240,97,34,95,35.8,11,40,27.5,18,21,85.7,15,35,50,20,10,5,12,12,-14
UTA,UTA vs. SAC,10/15/2024,W,240,117,38,71,53.5,14,35,40.0,27,30,90.0,7,34,41,21,5,12,25,16,3
GSW,GSW @ LAL,10/15/2024,W,240,111,44,96,45.8,14,45,31.1,9,11,81.8,13,42,55,33,7,5,14,22,14
MEM,MEM @ IND,10/14/2024,W,240,120,43,92,46.7,16,43,37.2,18,28,64.3,17,30,47,32,11,1,16,24,4
IND,IND vs. MEM,10/14/2024,L,240,116,43,79,54.4,13,32,40.6,17,29,58.6,7,33,40,33,8,3,18,20,-4
WAS,WAS @ BKN,10/14/2024,L,240,92,34,85,40.0,7,39,17.9,17,26,65.4,13,28,41,18,5,5,19,24,-39
BKN,BKN vs. WAS,10/14/2024,W,240,131,49,91,53.8,13,36,36.1,20,30,66.7,11,30,41,27,12,4,7,22,39
CHI,CHI @ MIL,10/14/2024,L,240,107,36,94,38.3,17,54,31.5,18,24,75.0,13,37,50,25,9,6,16,23,-4
PHI,PHI @ ATL,10/14/2024,W,240,104,39,90,43.3,14,43,32.6,12,16,75.0,11,42,53,28,10,6,19,22,15
ATL,ATL vs. PHI,10/14/2024,L,240,89,35,94,37.2,13,44,29.5,6,11,54.5,15,37,52,27,9,5,20,17,-15
MIL,MIL vs. CHI,10/14/2024,W,240,111,37,86,43.0,11,34,32.4,26,34,76.5,10,44,54,24,12,6,14,22,4
DAL,DAL @ LAC,10/14/2024,L,240,96,35,84,41.7,15,40,37.5,11,16,68.8,8,30,38,21,6,8,29,20,-14
LAC,LAC vs. DAL,10/14/2024,W,240,110,43,85,50.6,6,22,27.3,18,23,78.3,8,34,42,31,20,7,20,16,14
MIA,MIA vs. NOP,10/13/2024,W,240,101,39,94,41.5,9,42,21.4,14,23,60.9,15,33,48,26,15,1,17,21,2
NOP,NOP @ MIA,10/13/2024,L,240,99,36,80,45.0,9,37,24.3,18,25,72.0,12,36,48,19,8,11,24,18,-2
BOS,BOS vs. TOR,10/13/2024,W,240,115,39,95,41.1,18,53,34.0,19,23,82.6,18,32,50,29,7,5,14,21,4
SAC,SAC vs. POR,10/13/2024,L,240,85,35,84,41.7,5,28,17.9,10,14,71.4,12,34,46,25,9,5,27,26,-20
GSW,GSW vs. DET,10/13/2024,W,240,111,40,87,46.0,18,39,46.2,13,16,81.3,11,38,49,31,9,9,21,18,18
TOR,TOR @ BOS,10/13/2024,L,240,111,42,90,46.7,10,25,40.0,17,25,68.0,14,31,45,30,6,2,11,18,-4
DET,DET @ GSW,10/13/2024,L,240,93,40,90,44.4,7,29,24.1,6,12,50.0,11,25,36,30,11,9,15,16,-18
DEN,DEN vs. PHX,10/13/2024,L,240,114,44,94,46.8,12,37,32.4,14,21,66.7,8,38,46,33,9,3,13,17,-4
PHX,PHX @ DEN,10/13/2024,W,240,118,42,92,45.7,23,52,44.2,11,13,84.6,6,42,48,29,9,6,16,16,4
NYK,NYK vs. MIN,10/13/2024,W,240,115,37,87,42.5,12,40,30.0,29,34,85.3,9,43,52,23,7,3,12,22,5
POR,POR @ SAC,10/13/2024,W,240,105,37,87,42.5,14,39,35.9,17,26,65.4,12,35,47,23,14,3,20,21,20
MIN,MIN @ NYK,10/13/2024,L,240,110,36,94,38.3,17,48,35.4,21,27,77.8,12,39,51,22,3,3,12,28,-5
MEM,MEM @ CHI,10/12/2024,W,240,124,42,98,42.9,17,48,35.4,23,33,69.7,19,39,58,31,7,8,21,22,3
CHI,CHI vs. MEM,10/12/2024,L,240,121,40,97,41.2,20,48,41.7,21,27,77.8,15,31,46,26,13,6,18,24,-3
PHI,PHI @ BOS,10/12/2024,L,240,89,33,89,37.1,10,42,23.8,13,15,86.7,9,24,33,17,8,1,13,17,-50
SAS,SAS vs. UTA,10/12/2024,W,240,126,49,94,52.1,13,35,37.1,15,21,71.4,8,32,40,35,13,4,12,21,6
UTA,UTA @ SAS,10/12/2024,L,240,120,41,83,49.4,17,47,36.2,21,26,80.8,9,36,45,28,5,5,22,15,-6
BOS,BOS vs. PHI,10/12/2024,W,240,139,53,97,54.6,23,47,48.9,10,14,71.4,16,44,60,38,9,7,13,14,50
MIN,MIN vs. PHI,10/11/2024,W,240,121,44,89,49.4,18,50,36.0,15,20,75.0,9,36,45,32,9,7,15,22,10
SAC,SAC @ GSW,10/11/2024,L,240,106,36,93,38.7,13,46,28.3,21,33,63.6,18,29,47,24,16,2,13,32,-3
GSW,GSW vs. SAC,10/11/2024,W,240,109,32,66,48.5,13,34,38.2,32,37,86.5,3,43,46,20,3,4,24,28,3
POR,POR @ LAC,10/11/2024,L,240,99,34,82,41.5,10,31,32.3,21,30,70.0,10,37,47,24,7,6,17,19,-2
LAC,LAC vs. POR,10/11/2024,W,240,101,37,90,41.1,9,36,25.0,18,25,72.0,10,33,43,22,11,8,12,21,2
PHX,PHX vs. DET,10/11/2024,L,240,91,34,88,38.6,11,47,23.4,12,16,75.0,6,33,39,24,10,3,16,15,-18
DET,DET @ PHX,10/11/2024,W,240,109,42,90,46.7,9,35,25.7,16,18,88.9,13,38,51,22,10,3,13,20,18
WAS,WAS vs. TOR,10/11/2024,W,240,113,35,76,46.1,17,43,39.5,26,38,68.4,7,35,42,23,12,8,21,25,18
29,30,1,2,3,4,5,,,,,,,,,,,,,,,,,
6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,
13,14,15,16,17,18,19,,,,,,,,,,,,,,,,,
20,21,22,23,24,25,26,,,,,,,,,,,,,,,,,
27,28,29,30,31,1,2,,,,,,,,,,,,,,,,,
29,30,1,2,3,4,5,,,,,,,,,,,,,,,,,
6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,
13,14,15,16,17,18,19,,,,,,,,,,,,,,,,,
20,21,22,23,24,25,26,,,,,,,,,,,,,,,,,
27,28,29,30,31,1,2,,,,,,,,,,,,,,,,,
BOS,BOS @ TOR,10/15/2024,L,240,118,38,92,41.3,18,55,32.7,24,28,85.7,8,28,36,19,10,5,7,15,-1
CHA,CHA @ NYK,10/15/2024,L,240,105,37,97,38.1,18,49,36.7,13,15,86.7,12,33,45,22,8,5,13,19,-6
TOR,TOR vs. BOS,10/15/2024,W,240,119,46,92,50.0,15,43,34.9,12,13,92.3,12,45,57,34,6,0,21,25,1
NOP,NOP @ HOU,10/15/2024,L,240,98,36,96,37.5,9,37,24.3,17,20,85.0,11,36,47,25,6,5,11,17,-20
MIA,MIA vs. SAS,10/15/2024,W,240,120,40,86,46.5,14,45,31.1,26,34,76.5,7,29,36,31,15,6,9,23,3
SAS,SAS @ MIA,10/15/2024,L,240,117,44,79,55.7,9,30,30.0,20,29,69.0,8,42,50,28,7,2,21,24,-3
NYK,NYK vs. CHA,10/15/2024,W,240,111,42,97,43.3,16,45,35.6,11,15,73.3,17,42,59,28,3,2,15,17,6
OKC,OKC @ DEN,10/15/2024,W,240,124,47,94,50.0,17,46,37.0,13,20,65.0,8,36,44,31,15,5,12,23,30
DEN,DEN vs. OKC,10/15/2024,L,240,94,35,84,41.7,10,40,25.0,14,25,56.0,12,35,47,25,6,3,24,18,-30
HOU,HOU vs. NOP,10/15/2024,W,240,118,46,97,47.4,12,37,32.4,14,27,51.9,16,46,62,30,8,5,12,13,20
SAC,SAC @ UTA,10/15/2024,L,240,114,45,105,42.9,10,38,26.3,14,19,73.7,20,24,44,32,16,2,11,24,-3
LAL,LAL vs. GSW,10/15/2024,L,240,97,34,95,35.8,11,40,27.5,18,21,85.7,15,35,50,20,10,5,12,12,-14
UTA,UTA vs. SAC,10/15/2024,W,240,117,38,71,53.5,14,35,40.0,27,30,90.0,7,34,41,21,5,12,25,16,3
GSW,GSW @ LAL,10/15/2024,W,240,111,44,96,45.8,14,45,31.1,9,11,81.8,13,42,55,33,7,5,14,22,14
MEM,MEM @ IND,10/14/2024,W,240,120,43,92,46.7,16,43,37.2,18,28,64.3,17,30,47,32,11,1,16,24,4
IND,IND vs. MEM,10/14/2024,L,240,116,43,79,54.4,13,32,40.6,17,29,58.6,7,33,40,33,8,3,18,20,-4
WAS,WAS @ BKN,10/14/2024,L,240,92,34,85,40.0,7,39,17.9,17,26,65.4,13,28,41,18,5,5,19,24,-39
BKN,BKN vs. WAS,10/14/2024,W,240,131,49,91,53.8,13,36,36.1,20,30,66.7,11,30,41,27,12,4,7,22,39
CHI,CHI @ MIL,10/14/2024,L,240,107,36,94,38.3,17,54,31.5,18,24,75.0,13,37,50,25,9,6,16,23,-4
PHI,PHI @ ATL,10/14/2024,W,240,104,39,90,43.3,14,43,32.6,12,16,75.0,11,42,53,28,10,6,19,22,15
ATL,ATL vs. PHI,10/14/2024,L,240,89,35,94,37.2,13,44,29.5,6,11,54.5,15,37,52,27,9,5,20,17,-15
MIL,MIL vs. CHI,10/14/2024,W,240,111,37,86,43.0,11,34,32.4,26,34,76.5,10,44,54,24,12,6,14,22,4
DAL,DAL @ LAC,10/14/2024,L,240,96,35,84,41.7,15,40,37.5,11,16,68.8,8,30,38,21,6,8,29,20,-14
LAC,LAC vs. DAL,10/14/2024,W,240,110,43,85,50.6,6,22,27.3,18,23,78.3,8,34,42,31,20,7,20,16,14
MIA,MIA vs. NOP,10/13/2024,W,240,101,39,94,41.5,9,42,21.4,14,23,60.9,15,33,48,26,15,1,17,21,2
NOP,NOP @ MIA,10/13/2024,L,240,99,36,80,45.0,9,37,24.3,18,25,72.0,12,36,48,19,8,11,24,18,-2
BOS,BOS vs. TOR,10/13/2024,W,240,115,39,95,41.1,18,53,34.0,19,23,82.6,18,32,50,29,7,5,14,21,4
SAC,SAC vs. POR,10/13/2024,L,240,85,35,84,41.7,5,28,17.9,10,14,71.4,12,34,46,25,9,5,27,26,-20
GSW,GSW vs. DET,10/13/2024,W,240,111,40,87,46.0,18,39,46.2,13,16,81.3,11,38,49,31,9,9,21,18,18
TOR,TOR @ BOS,10/13/2024,L,240,111,42,90,46.7,10,25,40.0,17,25,68.0,14,31,45,30,6,2,11,18,-4
DET,DET @ GSW,10/13/2024,L,240,93,40,90,44.4,7,29,24.1,6,12,50.0,11,25,36,30,11,9,15,16,-18
DEN,DEN vs. PHX,10/13/2024,L,240,114,44,94,46.8,12,37,32.4,14,21,66.7,8,38,46,33,9,3,13,17,-4
PHX,PHX @ DEN,10/13/2024,W,240,118,42,92,45.7,23,52,44.2,11,13,84.6,6,42,48,29,9,6,16,16,4
NYK,NYK vs. MIN,10/13/2024,W,240,115,37,87,42.5,12,40,30.0,29,34,85.3,9,43,52,23,7,3,12,22,5
POR,POR @ SAC,10/13/2024,W,240,105,37,87,42.5,14,39,35.9,17,26,65.4,12,35,47,23,14,3,20,21,20
MIN,MIN @ NYK,10/13/2024,L,240,110,36,94,38.3,17,48,35.4,21,27,77.8,12,39,51,22,3,3,12,28,-5
MEM,MEM @ CHI,10/12/2024,W,240,124,42,98,42.9,17,48,35.4,23,33,69.7,19,39,58,31,7,8,21,22,3
CHI,CHI vs. MEM,10/12/2024,L,240,121,40,97,41.2,20,48,41.7,21,27,77.8,15,31,46,26,13,6,18,24,-3
PHI,PHI @ BOS,10/12/2024,L,240,89,33,89,37.1,10,42,23.8,13,15,86.7,9,24,33,17,8,1,13,17,-50
SAS,SAS vs. UTA,10/12/2024,W,240,126,49,94,52.1,13,35,37.1,15,21,71.4,8,32,40,35,13,4,12,21,6
UTA,UTA @ SAS,10/12/2024,L,240,120,41,83,49.4,17,47,36.2,21,26,80.8,9,36,45,28,5,5,22,15,-6
BOS,BOS vs. PHI,10/12/2024,W,240,139,53,97,54.6,23,47,48.9,10,14,71.4,16,44,60,38,9,7,13,14,50
MIN,MIN vs. PHI,10/11/2024,W,240,121,44,89,49.4,18,50,36.0,15,20,75.0,9,36,45,32,9,7,15,22,10
SAC,SAC @ GSW,10/11/2024,L,240,106,36,93,38.7,13,46,28.3,21,33,63.6,18,29,47,24,16,2,13,32,-3
GSW,GSW vs. SAC,10/11/2024,W,240,109,32,66,48.5,13,34,38.2,32,37,86.5,3,43,46,20,3,4,24,28,3
POR,POR @ LAC,10/11/2024,L,240,99,34,82,41.5,10,31,32.3,21,30,70.0,10,37,47,24,7,6,17,19,-2
LAC,LAC vs. POR,10/11/2024,W,240,101,37,90,41.1,9,36,25.0,18,25,72.0,10,33,43,22,11,8,12,21,2
PHX,PHX vs. DET,10/11/2024,L,240,91,34,88,38.6,11,47,23.4,12,16,75.0,6,33,39,24,10,3,16,15,-18
DET,DET @ PHX,10/11/2024,W,240,109,42,90,46.7,9,35,25.7,16,18,88.9,13,38,51,22,10,3,13,20,18
WAS,WAS vs. TOR,10/11/2024,W,240,113,35,76,46.1,17,43,39.5,26,38,68.4,7,35,42,23,12,8,21,25,18
29,30,1,2,3,4,5,,,,,,,,,,,,,,,,,
6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,
13,14,15,16,17,18,19,,,,,,,,,,,,,,,,,
20,21,22,23,24,25,26,,,,,,,,,,,,,,,,,
27,28,29,30,31,1,2,,,,,,,,,,,,,,,,,
29,30,1,2,3,4,5,,,,,,,,,,,,,,,,,
6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,
13,14,15,16,17,18,19,,,,,,,,,,,,,,,,,
20,21,22,23,24,25,26,,,,,,,,,,,,,,,,,
27,28,29,30,31,1,2,,,,,,,,,,,,,,,,,
BOS,BOS @ TOR,10/15/2024,L,240,118,38,92,41.3,18,55,32.7,24,28,85.7,8,28,36,19,10,5,7,15,-1
CHA,CHA @ NYK,10/15/2024,L,240,105,37,97,38.1,18,49,36.7,13,15,86.7,12,33,45,22,8,5,13,19,-6
TOR,TOR vs. BOS,10/15/2024,W,240,119,46,92,50.0,15,43,34.9,12,13,92.3,12,45,57,34,6,0,21,25,1
NOP,NOP @ HOU,10/15/2024,L,240,98,36,96,37.5,9,37,24.3,17,20,85.0,11,36,47,25,6,5,11,17,-20
MIA,MIA vs. SAS,10/15/2024,W,240,120,40,86,46.5,14,45,31.1,26,34,76.5,7,29,36,31,15,6,9,23,3
SAS,SAS @ MIA,10/15/2024,L,240,117,44,79,55.7,9,30,30.0,20,29,69.0,8,42,50,28,7,2,21,24,-3
NYK,NYK vs. CHA,10/15/2024,W,240,111,42,97,43.3,16,45,35.6,11,15,73.3,17,42,59,28,3,2,15,17,6
OKC,OKC @ DEN,10/15/2024,W,240,124,47,94,50.0,17,46,37.0,13,20,65.0,8,36,44,31,15,5,12,23,30
DEN,DEN vs. OKC,10/15/2024,L,240,94,35,84,41.7,10,40,25.0,14,25,56.0,12,35,47,25,6,3,24,18,-30
HOU,HOU vs. NOP,10/15/2024,W,240,118,46,97,47.4,12,37,32.4,14,27,51.9,16,46,62,30,8,5,12,13,20
SAC,SAC @ UTA,10/15/2024,L,240,114,45,105,42.9,10,38,26.3,14,19,73.7,20,24,44,32,16,2,11,24,-3
LAL,LAL vs. GSW,10/15/2024,L,240,97,34,95,35.8,11,40,27.5,18,21,85.7,15,35,50,20,10,5,12,12,-14
UTA,UTA vs. SAC,10/15/2024,W,240,117,38,71,53.5,14,35,40.0,27,30,90.0,7,34,41,21,5,12,25,16,3
GSW,GSW @ LAL,10/15/2024,W,240,111,44,96,45.8,14,45,31.1,9,11,81.8,13,42,55,33,7,5,14,22,14
MEM,MEM @ IND,10/14/2024,W,240,120,43,92,46.7,16,43,37.2,18,28,64.3,17,30,47,32,11,1,16,24,4
IND,IND vs. MEM,10/14/2024,L,240,116,43,79,54.4,13,32,40.6,17,29,58.6,7,33,40,33,8,3,18,20,-4
WAS,WAS @ BKN,10/14/2024,L,240,92,34,85,40.0,7,39,17.9,17,26,65.4,13,28,41,18,5,5,19,24,-39
BKN,BKN vs. WAS,10/14/2024,W,240,131,49,91,53.8,13,36,36.1,20,30,66.7,11,30,41,27,12,4,7,22,39
CHI,CHI @ MIL,10/14/2024,L,240,107,36,94,38.3,17,54,31.5,18,24,75.0,13,37,50,25,9,6,16,23,-4
PHI,PHI @ ATL,10/14/2024,W,240,104,39,90,43.3,14,43,32.6,12,16,75.0,11,42,53,28,10,6,19,22,15
ATL,ATL vs. PHI,10/14/2024,L,240,89,35,94,37.2,13,44,29.5,6,11,54.5,15,37,52,27,9,5,20,17,-15
MIL,MIL vs. CHI,10/14/2024,W,240,111,37,86,43.0,11,34,32.4,26,34,76.5,10,44,54,24,12,6,14,22,4
DAL,DAL @ LAC,10/14/2024,L,240,96,35,84,41.7,15,40,37.5,11,16,68.8,8,30,38,21,6,8,29,20,-14
LAC,LAC vs. DAL,10/14/2024,W,240,110,43,85,50.6,6,22,27.3,18,23,78.3,8,34,42,31,20,7,20,16,14
MIA,MIA vs. NOP,10/13/2024,W,240,101,39,94,41.5,9,42,21.4,14,23,60.9,15,33,48,26,15,1,17,21,2
NOP,NOP @ MIA,10/13/2024,L,240,99,36,80,45.0,9,37,24.3,18,25,72.0,12,36,48,19,8,11,24,18,-2
BOS,BOS vs. TOR,10/13/2024,W,240,115,39,95,41.1,18,53,34.0,19,23,82.6,18,32,50,29,7,5,14,21,4
SAC,SAC vs. POR,10/13/2024,L,240,85,35,84,41.7,5,28,17.9,10,14,71.4,12,34,46,25,9,5,27,26,-20
GSW,GSW vs. DET,10/13/2024,W,240,111,40,87,46.0,18,39,46.2,13,16,81.3,11,38,49,31,9,9,21,18,18
TOR,TOR @ BOS,10/13/2024,L,240,111,42,90,46.7,10,25,40.0,17,25,68.0,14,31,45,30,6,2,11,18,-4
DET,DET @ GSW,10/13/2024,L,240,93,40,90,44.4,7,29,24.1,6,12,50.0,11,25,36,30,11,9,15,16,-18
DEN,DEN vs. PHX,10/13/2024,L,240,114,44,94,46.8,12,37,32.4,14,21,66.7,8,38,46,33,9,3,13,17,-4
PHX,PHX @ DEN,10/13/2024,W,240,118,42,92,45.7,23,52,44.2,11,13,84.6,6,42,48,29,9,6,16,16,4
NYK,NYK vs. MIN,10/13/2024,W,240,115,37,87,42.5,12,40,30.0,29,34,85.3,9,43,52,23,7,3,12,22,5
POR,POR @ SAC,10/13/2024,W,240,105,37,87,42.5,14,39,35.9,17,26,65.4,12,35,47,23,14,3,20,21,20
MIN,MIN @ NYK,10/13/2024,L,240,110,36,94,38.3,17,48,35.4,21,27,77.8,12,39,51,22,3,3,12,28,-5
MEM,MEM @ CHI,10/12/2024,W,240,124,42,98,42.9,17,48,35.4,23,33,69.7,19,39,58,31,7,8,21,22,3
CHI,CHI vs. MEM,10/12/2024,L,240,121,40,97,41.2,20,48,41.7,21,27,77.8,15,31,46,26,13,6,18,24,-3
PHI,PHI @ BOS,10/12/2024,L,240,89,33,89,37.1,10,42,23.8,13,15,86.7,9,24,33,17,8,1,13,17,-50
SAS,SAS vs. UTA,10/12/2024,W,240,126,49,94,52.1,13,35,37.1,15,21,71.4,8,32,40,35,13,4,12,21,6
UTA,UTA @ SAS,10/12/2024,L,240,120,41,83,49.4,17,47,36.2,21,26,80.8,9,36,45,28,5,5,22,15,-6
BOS,BOS vs. PHI,10/12/2024,W,240,139,53,97,54.6,23,47,48.9,10,14,71.4,16,44,60,38,9,7,13,14,50
MIN,MIN vs. PHI,10/11/2024,W,240,121,44,89,49.4,18,50,36.0,15,20,75.0,9,36,45,32,9,7,15,22,10
SAC,SAC @ GSW,10/11/2024,L,240,106,36,93,38.7,13,46,28.3,21,33,63.6,18,29,47,24,16,2,13,32,-3
GSW,GSW vs. SAC,10/11/2024,W,240,109,32,66,48.5,13,34,38.2,32,37,86.5,3,43,46,20,3,4,24,28,3
POR,POR @ LAC,10/11/2024,L,240,99,34,82,41.5,10,31,32.3,21,30,70.0,10,37,47,24,7,6,17,19,-2
LAC,LAC vs. POR,10/11/2024,W,240,101,37,90,41.1,9,36,25.0,18,25,72.0,10,33,43,22,11,8,12,21,2
PHX,PHX vs. DET,10/11/2024,L,240,91,34,88,38.6,11,47,23.4,12,16,75.0,6,33,39,24,10,3,16,15,-18
DET,DET @ PHX,10/11/2024,W,240,109,42,90,46.7,9,35,25.7,16,18,88.9,13,38,51,22,10,3,13,20,18
WAS,WAS vs. TOR,10/11/2024,W,240,113,35,76,46.1,17,43,39.5,26,38,68.4,7,35,42,23,12,8,21,25,18
