Name,Team,POS,Age,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
John Collins,UTA,F-C,27.1,9,24.3,27.0,18.1,26,0.962,82,0.549,26,0.346,0.542,0.594,15.8,7.4,2.6,1.0,0.8,2.7,23.2,18.3,25.8,11.1,109.4,102.2
O.G. Anunoby,NYK,F-G,27.3,9,36.0,17.6,9.4,24,0.833,57,0.526,49,0.408,0.566,0.601,15.6,4.4,2.7,1.7,0.6,1.2,20.0,18.2,22.7,6.3,121.3,113.0
Jarrett Allen,CLE,C,26.6,11,29.7,16.9,13.0,43,0.721,93,0.656,0,0.0,0.656,0.684,13.9,11.1,1.7,0.9,1.4,1.3,25.0,15.6,26.7,8.6,133.1,104.8
Bam Adebayo,MIA,C-F,27.3,9,33.9,22.6,8.6,46,0.674,105,0.429,22,0.182,0.402,0.452,14.8,8.8,4.0,1.9,1.4,1.3,23.6,18.8,27.6,9.5,105.8,109.1
Kyle Kuzma,WAS,F,29.3,3,30.8,29.7,11.8,16,0.75,34,0.353,18,0.278,0.375,0.432,17.0,7.0,3.7,0.3,0.3,2.3,24.0,20.7,27.7,9.9,91.6,122.0
Derrick White,BOS,G,30.4,11,34.5,20.2,8.5,28,0.893,53,0.585,98,0.408,0.603,0.634,18.8,4.5,4.4,1.0,1.2,1.3,23.4,23.2,27.7,8.3,130.2,105.3
Josh Hart,NYK,G,29.7,9,36.7,14.9,17.1,25,0.84,51,0.745,31,0.29,0.628,0.667,13.8,9.0,5.1,1.1,0.2,1.9,22.8,18.9,27.9,9.4,132.5,112.0
Dillon Brooks,HOU,G-F,28.8,10,31.9,15.5,3.6,17,0.941,55,0.436,53,0.358,0.486,0.524,12.1,3.6,0.7,0.6,0.2,0.4,15.7,12.8,16.4,3.9,116.7,105.8
Thomas Bryant,MIA,C-F,27.3,7,12.7,11.8,4.5,5,1.0,10,0.6,11,0.364,0.571,0.625,4.1,3.6,0.6,0.1,0.7,0.1,7.7,4.7,8.3,6.5,136.2,107.5
Monte Morris,PHO,G,29.4,6,9.3,17.1,5.5,8,0.75,7,0.429,10,0.3,0.441,0.512,3.5,1.2,1.5,0.5,0.2,0.2,4.7,5.0,6.2,7.9,121.9,114.2
Vlatko Cancar,DEN,F,27.6,1,1.6,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Luke Kornet,BOS,C-F,29.3,10,16.9,9.0,14.1,17,0.941,24,0.583,0,0.0,0.583,0.699,4.4,4.0,1.4,0.5,0.8,0.4,8.4,5.8,9.8,6.9,156.7,103.0
Chris Boucher,TOR,F,31.8,11,18.8,21.7,6.1,27,0.704,49,0.673,43,0.326,0.587,0.611,11.5,4.3,0.9,0.5,0.7,0.5,15.8,12.5,16.7,7.5,123.7,117.8
Daniel Theis,NOR,F-C,32.6,10,14.9,12.7,19.4,8,0.75,23,0.522,10,0.2,0.455,0.493,3.6,3.5,1.5,0.3,0.7,0.8,7.1,5.1,8.6,7.2,102.5,112.3
Maxi Kleber,DAL,F,32.8,2,15.6,6.9,0.0,0,0.0,3,0.333,2,0.5,0.5,0.5,2.5,2.5,1.5,0.0,0.5,0.0,5.0,4.0,6.5,5.4,125.4,106.9
Grayson Allen,PHO,G,29.1,8,20.2,20.4,10.1,12,0.917,15,0.333,47,0.319,0.444,0.49,8.3,2.3,1.1,0.9,0.5,0.9,10.5,9.4,11.6,5.5,98.2,110.9
Marvin Bagley III,WAS,F,25.7,6,6.9,25.3,17.9,7,0.714,15,0.6,3,0.0,0.5,0.546,3.8,2.8,0.2,0.0,0.2,0.7,6.7,4.0,6.8,7.5,104.0,121.0
Mikal Bridges,NYK,G-F,28.2,9,37.8,18.3,10.3,8,0.5,59,0.627,63,0.317,0.549,0.55,15.3,3.6,3.4,1.2,0.7,1.6,18.9,18.8,22.3,6.1,112.3,116.8
Miles Bridges,CHA,F,26.6,8,30.5,22.1,11.3,30,0.833,57,0.491,45,0.267,0.451,0.508,14.6,6.8,2.5,0.5,0.5,1.6,21.4,17.1,23.9,8.2,106.3,112.4
Jalen Brunson,NYK,G,28.2,9,34.5,30.0,8.6,53,0.811,122,0.5,48,0.417,0.535,0.582,25.0,2.9,6.6,0.4,0.0,1.8,27.9,31.6,34.4,9.1,123.7,116.6
Jevon Carter,CHI,G,29.2,4,5.3,11.8,0.0,0,0.0,2,0.5,4,0.25,0.417,0.417,1.3,0.5,0.5,0.3,0.0,0.0,1.8,1.8,2.3,5.2,108.6,119.3
Wendell Carter Jr.,ORL,C-F,25.6,6,26.4,13.2,7.3,18,0.778,22,0.682,16,0.125,0.474,0.544,8.3,8.8,2.2,1.3,0.3,0.5,17.2,10.5,19.3,8.2,123.9,98.4
Donte DiVincenzo,MIN,G,27.8,10,27.5,19.5,15.3,14,0.786,23,0.478,76,0.329,0.49,0.514,10.8,3.6,3.7,1.6,0.4,1.8,14.4,14.5,18.1,7.6,104.9,105.1
Bruno Fernando,TOR,F-C,26.2,8,7.9,18.0,22.7,4,1.0,20,0.5,0,0.0,0.5,0.551,3.0,2.5,0.9,0.1,0.6,0.8,5.5,3.9,6.4,9.6,107.8,93.7
Shai Gilgeous-Alexander,OKC,G,26.3,10,32.6,32.2,13.7,71,0.887,136,0.574,53,0.264,0.524,0.593,26.1,5.8,6.2,1.4,1.0,3.0,31.9,32.3,38.1,12.0,116.6,101.2
Aaron Holiday,HOU,G,28.1,4,7.8,12.4,10.6,1,1.0,3,0.333,5,0.4,0.5,0.533,2.3,0.5,1.8,0.3,0.0,0.3,2.8,4.0,4.5,6.5,128.2,116.7
Kevin Huerter,SAC,G-F,26.2,8,26.1,16.1,7.7,2,1.0,23,0.739,48,0.375,0.62,0.626,11.3,3.4,2.0,1.0,0.6,0.8,14.6,13.3,16.6,6.5,121.9,102.1
Jaren Jackson Jr.,MEM,F-C,25.2,9,27.7,27.5,12.7,46,0.739,86,0.628,44,0.409,0.623,0.652,21.8,5.4,1.0,1.4,1.2,2.1,27.2,22.8,28.2,7.1,116.8,99.3
Caleb Martin,PHI,F,29.1,9,33.9,16.4,20.8,44,0.659,50,0.4,26,0.308,0.421,0.488,10.3,6.0,3.0,0.9,0.3,2.2,16.3,13.3,19.3,6.7,100.3,112.2
Cody Martin,CHA,F,29.1,10,25.0,15.3,10.4,12,0.833,37,0.595,40,0.375,0.578,0.602,9.9,4.5,2.1,0.9,0.4,0.9,14.4,12.0,16.5,7.3,123.8,108.8
De'Anthony Melton,GOL,G,26.5,5,18.9,23.6,15.9,8,0.5,13,0.385,29,0.379,0.512,0.516,9.4,3.2,2.6,1.2,0.4,1.6,12.6,12.0,15.2,9.1,104.0,93.9
Shake Milton,BRO,G,28.1,8,9.2,8.9,6.9,2,1.0,1,0.0,12,0.333,0.462,0.504,1.8,0.9,0.8,0.3,0.0,0.1,2.6,2.5,3.4,4.7,118.7,109.5
Michael Porter Jr.,DEN,F,26.4,10,36.8,18.3,7.2,20,0.75,65,0.554,76,0.408,0.585,0.601,18.0,7.0,2.9,1.1,0.5,1.1,25.0,20.9,27.9,7.8,122.4,111.9
Collin Sexton,UTA,G,25.9,9,25.8,25.7,20.1,47,0.894,72,0.486,27,0.37,0.505,0.593,15.8,2.4,3.1,0.9,0.2,2.8,18.2,18.9,21.3,7.6,108.7,111.5
Anfernee Simons,POR,G,25.4,11,32.0,25.6,14.1,36,0.917,90,0.456,86,0.302,0.455,0.503,17.5,2.1,4.6,0.8,0.1,2.6,19.6,22.2,24.3,6.9,101.7,119.1
Gary Trent Jr.,MIL,G,25.8,8,26.8,15.2,10.2,14,0.929,22,0.409,39,0.231,0.369,0.432,7.3,1.4,0.9,0.8,0.0,0.9,8.6,8.1,9.5,3.1,85.8,111.0
Moritz Wagner,ORL,F-C,27.5,11,18.2,27.2,17.5,45,0.778,61,0.623,28,0.286,0.562,0.62,12.3,4.6,0.9,0.6,0.3,1.7,16.9,13.2,17.8,8.1,108.9,97.0
P.J. Washington,DAL,F,26.2,7,32.5,14.7,10.8,8,0.375,35,0.6,31,0.226,0.477,0.475,9.4,7.7,1.4,1.6,1.3,1.1,17.1,10.9,18.6,5.7,98.9,105.3
Trae Young,ATL,G,26.1,11,36.6,29.6,19.6,78,0.885,103,0.447,102,0.333,0.473,0.549,23.9,4.2,11.5,1.3,0.2,4.5,28.1,35.5,39.6,11.5,112.1,118.9
Deandre Ayton,POR,C,26.3,11,29.3,19.1,10.9,8,0.625,118,0.534,13,0.385,0.538,0.543,13.3,10.5,1.0,0.9,0.5,1.5,23.8,14.3,24.8,7.1,107.7,109.7
Luka Doncic,DAL,F-G,25.7,10,37.6,34.0,11.7,74,0.784,134,0.47,99,0.333,0.483,0.533,28.3,8.1,8.1,1.3,0.4,3.1,36.4,36.4,44.5,13.1,111.1,104.5
Goga Bitadze,ORL,C-F,25.3,7,17.4,14.4,12.7,5,0.6,30,0.733,4,0.0,0.647,0.649,6.7,6.7,1.9,0.4,1.1,0.7,13.4,8.6,15.3,10.1,134.4,99.8
Rui Hachimura,LAL,F,26.8,9,33.7,16.2,5.6,18,0.833,68,0.353,32,0.469,0.465,0.5,12.0,6.0,1.4,0.7,0.4,0.7,18.0,13.4,19.4,5.5,109.6,113.9
Jock Landale,HOU,C,29.0,7,11.0,18.9,9.6,10,0.6,23,0.435,5,0.6,0.518,0.54,5.0,3.1,0.4,0.1,0.0,0.4,8.1,5.4,8.6,6.7,115.9,102.9
Duncan Robinson,MIA,F,30.6,8,16.4,22.1,6.0,0,0.0,17,0.294,46,0.413,0.532,0.532,8.4,1.6,1.3,0.1,0.4,0.5,10.0,9.6,11.3,6.3,105.7,108.6
Jordan McLaughlin,SAC,G,28.6,7,4.9,11.3,33.3,0,0.0,2,0.0,4,0.25,0.25,0.25,0.4,0.4,0.4,0.4,0.0,0.4,0.9,0.9,1.3,3.3,51.3,99.7
Gabe Vincent,LAL,G,28.4,10,18.2,11.8,14.2,2,0.5,16,0.5,26,0.192,0.369,0.373,3.2,0.9,0.5,0.6,0.0,0.7,4.1,3.7,4.6,2.5,72.3,113.3
Drew Eubanks,UTA,F-C,27.8,6,14.1,12.2,26.8,7,0.857,13,0.538,3,0.333,0.531,0.603,3.8,4.2,1.3,0.2,0.7,1.0,8.0,5.2,9.3,7.8,113.7,111.2
Haywood Highsmith,MIA,F,27.9,7,22.9,11.5,5.1,8,0.625,18,0.778,19,0.368,0.662,0.666,7.7,3.0,0.7,1.6,0.4,0.3,10.7,8.4,11.4,4.4,132.5,108.8
Amir Coffey,LAC,G-F,27.4,10,22.9,13.5,6.1,14,0.714,33,0.545,28,0.536,0.664,0.677,9.1,2.1,0.6,0.6,0.0,0.4,11.2,9.7,11.8,3.9,132.1,107.8
Terance Mann,LAC,G-F,28.1,10,23.2,11.6,7.0,11,0.727,35,0.486,18,0.167,0.406,0.441,5.1,3.7,1.8,0.5,0.1,0.4,8.8,6.9,10.6,5.6,109.4,100.6
Andrew Nembhard,IND,G-F,24.8,7,26.7,15.6,16.0,10,0.8,39,0.436,13,0.231,0.413,0.452,7.3,2.0,4.7,0.9,0.0,1.4,9.3,12.0,14.0,6.1,99.7,115.6
Jalen Pickett,DEN,G,25.1,2,1.9,11.0,0.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zion Williamson,NOR,F,24.3,6,31.1,34.8,17.4,60,0.667,98,0.459,6,0.333,0.462,0.521,22.7,8.0,5.3,0.7,1.2,3.7,30.7,28.0,36.0,12.7,105.4,112.5
RJ Barrett,TOR,F-G,24.4,8,33.2,31.4,14.6,46,0.696,105,0.486,52,0.327,0.487,0.522,23.1,5.6,6.1,1.0,0.1,3.4,28.8,29.3,34.9,11.1,104.6,116.6
Ja Morant,MEM,G,25.3,8,27.8,33.1,21.3,54,0.833,94,0.511,31,0.258,0.48,0.555,20.6,5.0,9.1,0.6,0.3,4.3,25.6,29.8,34.8,14.1,110.2,106.2
De'Andre Hunter,ATL,F-G,26.9,2,29.5,20.8,0.0,13,0.923,14,0.429,10,0.4,0.5,0.606,18.0,6.5,2.0,1.0,0.5,0.0,24.5,20.0,26.5,8.4,135.3,104.9
Coby White,CHI,G,24.7,10,33.2,23.7,15.2,32,0.813,60,0.55,90,0.378,0.56,0.591,19.4,3.5,5.0,1.3,0.1,2.7,22.9,24.4,27.9,8.4,110.4,110.9
Brandon Clarke,MEM,F,28.1,11,15.1,14.3,5.5,11,0.727,42,0.595,9,0.111,0.52,0.546,5.5,3.1,0.6,0.9,0.1,0.3,8.6,6.2,9.3,5.8,117.0,101.5
Darius Garland,CLE,G,24.8,11,29.5,26.2,15.6,20,0.95,76,0.605,80,0.475,0.66,0.683,20.5,1.9,6.6,1.2,0.4,2.6,22.4,27.1,29.0,8.6,126.8,107.2
Jaxson Hayes,LAL,C-F,24.5,10,17.5,11.9,14.9,19,0.789,34,0.706,0,0.0,0.706,0.744,6.3,4.6,0.9,0.3,0.9,0.6,10.9,7.2,11.8,6.8,146.1,103.3
Nickeil Alexander-Walker,MIN,G,26.2,10,23.1,13.7,17.8,13,0.692,21,0.571,34,0.5,0.682,0.692,8.4,2.6,2.7,0.8,0.3,1.2,11.0,11.1,13.7,6.7,127.9,109.9
Tyler Herro,MIA,G,24.8,9,32.5,27.0,14.8,33,0.818,64,0.578,79,0.456,0.636,0.663,23.2,5.2,5.0,0.3,0.2,2.8,28.4,28.2,33.4,10.4,121.3,110.2
Keldon Johnson,SAN,F-G,25.1,10,27.5,20.0,7.0,28,0.821,65,0.569,41,0.244,0.491,0.537,12.7,6.0,1.4,0.9,0.3,0.8,18.7,14.1,20.1,6.9,112.6,107.6
Kevin Porter Jr.,LAC,G-F,24.5,10,16.7,30.6,22.3,13,0.615,64,0.453,23,0.174,0.402,0.421,7.8,3.7,2.8,0.8,0.1,2.5,11.5,10.6,14.3,10.4,82.4,102.0
Charles Bassey,SAN,C-F,24.0,5,3.3,12.9,45.0,2,1.0,2,1.0,0,0.0,1.0,1.042,1.2,1.4,0.2,0.2,0.2,0.4,2.6,1.4,2.8,8.4,0.0,0.0
Nic Claxton,BRO,C,25.6,9,24.1,14.1,13.5,23,0.391,51,0.686,0,0.0,0.686,0.646,8.8,7.9,2.6,0.7,1.2,0.9,16.7,11.3,19.2,9.4,130.2,101.9
Luguentz Dort,OKC,G,25.6,10,26.5,14.2,5.9,13,0.923,30,0.5,49,0.449,0.608,0.637,10.8,3.6,1.6,1.3,0.8,0.5,14.4,12.4,16.0,6.0,128.7,96.7
Daniel Gafford,DAL,F-C,26.1,10,20.9,18.6,10.0,23,0.739,72,0.708,0,0.0,0.708,0.725,11.9,6.1,1.2,0.5,1.2,0.8,18.0,13.1,19.2,8.5,142.0,97.4
Quentin Grimes,DAL,G,24.5,9,12.0,13.2,9.6,5,0.6,13,0.462,15,0.333,0.482,0.497,3.3,2.1,0.3,0.4,0.1,0.3,5.4,3.7,5.8,4.3,98.7,101.3
Talen Horton-Tucker,CHI,G,24.0,7,11.9,17.2,10.2,13,0.692,16,0.563,10,0.3,0.519,0.567,5.1,2.4,1.7,0.0,0.1,0.4,7.6,6.9,9.3,9.2,121.8,114.5
Ty Jerome,CLE,G-F,27.3,11,16.1,21.1,13.3,23,0.826,46,0.63,19,0.579,0.7,0.732,10.0,1.9,3.3,1.4,0.0,0.9,11.9,13.3,15.2,9.9,142.5,107.5
Cameron Johnson,BRO,F,28.7,10,34.0,18.4,2.3,27,0.852,46,0.63,81,0.383,0.594,0.626,17.4,4.4,2.9,0.6,0.4,0.3,21.8,20.3,24.7,7.1,132.0,112.2
Jordan Poole,WAS,G,25.4,8,29.9,28.7,15.9,33,0.909,60,0.433,67,0.433,0.547,0.597,21.1,1.6,4.0,2.1,0.9,3.0,22.8,25.1,26.8,6.9,108.9,115.0
Neemias Queta,BOS,C,25.3,10,17.2,14.6,13.1,12,0.75,45,0.622,1,0.0,0.609,0.634,6.5,5.7,0.5,0.2,0.7,0.7,12.2,7.0,12.7,6.2,128.0,101.0
Naz Reid,MIN,C-F,25.2,10,23.8,20.7,11.4,19,0.947,45,0.6,48,0.479,0.661,0.696,14.1,5.5,1.7,0.4,0.5,1.2,19.6,15.8,21.3,8.6,129.1,102.1
Grant Williams,CHA,F,25.9,10,27.7,15.1,20.6,18,0.833,23,0.609,50,0.34,0.541,0.581,9.4,4.5,2.4,1.3,0.7,1.9,13.9,11.8,16.3,6.7,109.4,104.8
John Konchar,MEM,G,28.6,5,20.0,7.2,18.4,4,0.75,2,1.0,11,0.364,0.615,0.644,3.8,4.4,1.2,0.6,1.0,0.6,8.2,5.0,9.4,5.4,127.5,107.1
Garrison Mathews,ATL,G,28.0,10,22.9,14.9,6.7,20,0.85,12,0.417,57,0.491,0.681,0.713,11.1,1.4,1.4,0.9,0.2,0.5,12.5,12.5,13.9,4.9,137.3,114.7
Dean Wade,CLE,F-C,28.0,9,22.6,11.1,4.2,8,0.375,9,0.667,37,0.351,0.554,0.545,6.0,4.6,1.8,1.1,0.2,0.2,10.6,7.8,12.3,6.5,121.1,103.5
Javonte Green,NOR,G,31.3,10,21.8,8.6,10.2,12,0.917,21,0.524,14,0.429,0.571,0.633,5.1,3.0,0.6,1.3,0.5,0.4,8.1,5.7,8.7,3.8,128.6,117.2
Anthony Edwards,MIN,G,23.3,10,36.2,31.8,14.7,46,0.674,91,0.495,118,0.458,0.603,0.617,28.3,5.8,3.8,0.9,0.5,3.6,34.1,32.1,37.9,9.4,111.2,108.3
LaMelo Ball,CHA,G,23.2,10,33.4,37.6,16.9,50,0.84,100,0.54,130,0.369,0.548,0.583,29.4,4.9,6.2,1.5,0.3,4.7,34.3,35.6,40.5,11.5,111.5,104.4
James Wiseman,IND,C,23.6,1,4.6,46.6,0.0,2,1.0,3,0.667,1,0.0,0.5,0.615,6.0,1.0,0.0,0.0,0.0,0.0,7.0,6.0,7.0,0.0,123.4,121.4
Deni Avdija,POR,F,23.9,11,25.5,19.0,19.2,38,0.763,57,0.456,35,0.171,0.38,0.455,9.0,5.6,3.0,1.0,0.8,2.0,14.6,12.0,17.6,8.4,94.9,112.3
Obi Toppin,IND,F,26.7,9,20.8,16.8,12.1,13,0.846,34,0.676,24,0.333,0.603,0.636,9.0,3.1,1.6,0.6,0.2,0.9,12.1,10.6,13.7,6.8,122.2,116.6
Onyeka Okongwu,ATL,F-C,23.9,9,22.7,16.5,5.6,25,0.84,52,0.654,15,0.2,0.575,0.628,10.9,5.8,1.9,0.7,0.6,0.4,16.7,12.8,18.6,8.7,135.3,112.7
Tyrese Haliburton,IND,G,24.7,10,34.8,22.3,11.2,39,0.769,65,0.569,77,0.273,0.482,0.525,16.7,4.3,8.3,1.3,0.5,1.8,21.0,25.0,29.3,9.7,115.8,116.4
Isaac Okoro,CLE,F-G,23.8,11,20.4,11.1,5.9,13,0.615,23,0.478,25,0.48,0.604,0.614,6.0,2.5,1.6,0.6,0.4,0.3,8.5,7.6,10.1,5.7,135.2,105.6
Patrick Williams,CHI,F,23.2,10,28.0,16.3,18.2,15,0.867,41,0.341,44,0.341,0.429,0.469,8.6,5.0,1.8,1.1,0.6,1.9,13.6,10.4,15.4,6.1,89.9,111.7
Aaron Nesmith,IND,G-F,25.1,6,22.7,15.1,12.1,13,0.846,25,0.52,11,0.545,0.611,0.659,9.2,4.0,1.0,0.7,0.3,0.8,13.2,10.2,14.2,5.9,123.4,102.3
Cole Anthony,ORL,G,24.5,9,12.1,22.5,25.8,17,0.706,18,0.444,19,0.263,0.419,0.483,4.8,2.6,2.1,0.8,0.1,1.4,7.3,6.9,9.4,9.8,92.0,97.0
Tyrese Maxey,PHI,G,24.0,7,39.7,31.1,7.8,45,0.822,88,0.511,77,0.286,0.473,0.522,27.6,3.0,3.9,1.4,0.6,2.0,30.6,31.4,34.4,6.9,107.6,112.8
Josh Green,CHA,G,24.0,8,22.4,9.7,7.6,5,0.6,13,0.308,23,0.435,0.528,0.537,5.1,1.4,1.1,0.5,0.5,0.4,6.5,6.3,7.6,3.5,116.9,108.2
Jaden McDaniels,MIN,F,24.1,10,28.3,14.9,9.7,12,0.75,49,0.551,34,0.294,0.506,0.527,9.3,2.8,1.5,0.7,1.0,0.9,12.1,10.8,13.6,4.8,108.9,105.3
Jalen Smith,CHI,F-C,24.7,9,14.6,22.8,7.5,15,0.667,27,0.519,34,0.412,0.574,0.592,8.9,5.2,0.6,0.6,0.3,0.6,14.1,9.4,14.7,8.3,117.5,98.7
Isaiah Stewart,DET,F-C,23.5,11,22.5,11.2,24.0,15,0.867,40,0.6,4,0.0,0.545,0.603,5.5,7.3,2.3,0.5,1.4,1.3,12.8,7.8,15.1,8.0,122.3,97.3
Zeke Nnaji,DEN,F-C,23.8,6,7.1,12.5,0.0,4,0.25,7,0.857,4,0.0,0.545,0.509,2.2,1.0,0.5,0.0,0.3,0.0,3.2,2.7,3.7,5.8,118.7,111.4
Immanuel Quickley,TOR,G,25.4,3,22.5,30.2,8.6,9,0.889,26,0.385,16,0.375,0.452,0.5,15.3,2.0,4.0,0.7,0.0,1.3,17.3,19.3,21.3,8.8,109.1,117.1
Paul Reed,DET,F,25.4,5,11.3,20.7,23.7,5,0.8,17,0.647,2,0.5,0.658,0.684,5.8,2.0,0.6,0.8,0.8,1.2,7.8,6.4,8.4,6.8,110.1,89.5
Isaiah Joe,OKC,G,25.4,10,21.0,16.6,3.7,7,0.714,14,0.5,63,0.413,0.597,0.606,9.7,3.1,1.5,0.5,0.0,0.3,12.8,11.2,14.3,6.8,124.9,99.0
Tre Jones,SAN,G,24.8,1,15.6,10.5,0.0,4,0.75,2,0.0,0,0.0,0.0,0.399,3.0,1.0,3.0,1.0,0.0,0.0,4.0,6.0,7.0,5.3,129.6,118.7
Payton Pritchard,BOS,G,26.8,11,28.1,20.7,10.8,22,0.955,24,0.667,100,0.43,0.649,0.681,16.5,2.6,2.5,1.0,0.0,1.4,19.2,19.1,21.7,6.8,129.7,107.6
Nick Richards,CHA,C,27.0,5,27.4,15.2,17.4,22,0.591,32,0.656,1,0.0,0.636,0.644,11.0,10.0,1.8,0.4,2.4,1.4,21.0,12.8,22.8,8.5,128.1,105.6
Xavier Tillman,BOS,F,25.8,9,10.2,12.2,11.5,0,0.0,9,0.333,14,0.214,0.326,0.326,1.7,2.2,0.7,0.3,0.0,0.3,3.9,2.3,4.6,5.4,86.5,105.0
Jared Butler,WAS,G,24.2,7,9.7,22.4,6.6,15,0.667,23,0.522,5,0.2,0.482,0.535,5.3,1.0,2.7,0.7,0.3,0.3,6.3,8.0,9.0,10.0,124.8,114.3
Desmond Bane,MEM,G,26.4,5,26.5,26.3,11.1,12,0.917,40,0.55,32,0.406,0.576,0.608,18.8,5.4,2.8,1.0,0.6,1.8,24.2,21.6,27.0,9.9,116.4,99.8
Jalen Green,HOU,G,22.8,10,33.2,27.8,11.2,42,0.857,92,0.424,90,0.356,0.478,0.524,21.0,4.6,3.0,0.8,0.5,2.3,25.6,24.0,28.6,8.0,107.2,107.4
Jonathan Kuminga,GOL,F,22.1,10,24.0,25.8,13.9,44,0.659,79,0.532,32,0.344,0.527,0.56,14.6,4.3,1.8,0.9,0.5,1.8,18.9,16.4,20.7,8.1,108.6,106.1
Naji Marshall,DAL,F,26.8,10,23.2,14.0,11.2,9,1.0,43,0.651,20,0.2,0.54,0.575,7.7,3.9,2.7,1.0,0.2,0.8,11.6,10.4,14.3,7.5,121.3,110.7
KJ Martin,PHI,F,23.8,8,17.7,8.7,0.0,10,0.8,22,0.682,2,1.0,0.75,0.775,5.5,2.8,0.6,0.4,0.8,0.0,8.3,6.1,8.9,4.7,164.4,105.9
