Name,Team,POS,Age,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
Sam Merrill,CLE,G,28.5,11,19.8,14.0,7.4,6,1.0,7,0.714,55,0.4,0.613,0.634,7.5,1.7,1.5,0.7,0.1,0.5,9.2,8.9,10.6,5.4,124.5,105.8
Trevelin Queen,ORL,G,27.7,1,3.1,13.7,100.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ayo Dosunmu,CHI,G,24.8,10,28.4,17.4,12.3,15,0.933,53,0.604,46,0.217,0.475,0.511,10.8,4.8,4.0,0.1,0.5,1.4,15.6,14.8,19.6,8.3,108.0,111.5
Vit Krejci,ATL,G,24.4,4,14.1,15.4,21.9,7,0.571,7,0.571,7,0.286,0.5,0.527,4.5,1.3,1.0,0.8,0.3,1.0,5.8,5.5,6.8,5.1,94.6,106.7
Jae'Sean Tate,HOU,F,29.0,3,4.5,27.0,27.7,4,0.5,4,0.75,1,0.0,0.6,0.592,2.7,2.3,0.7,0.3,0.0,0.7,5.0,3.3,5.7,14.5,106.2,78.4
Anthony Gill,WAS,F,32.1,6,3.1,15.3,16.1,2,0.5,3,0.667,2,0.5,0.7,0.68,1.3,0.7,0.5,0.3,0.0,0.2,2.0,1.8,2.5,9.9,0.0,0.0
Jeff Dowtin Jr.,PHI,G,27.5,4,7.5,15.7,0.0,2,1.0,7,0.571,3,0.333,0.55,0.597,3.3,0.5,0.3,0.3,0.0,0.0,3.8,3.5,4.0,4.2,127.9,117.7
Pat Spencer,GOL,G,28.4,3,1.5,27.2,0.0,0,0.0,3,0.667,0,0.0,0.667,0.667,1.3,0.0,0.3,0.0,0.0,0.0,1.3,1.7,1.7,0.0,0.0,0.0
Brandon Williams,DAL,G,25.0,3,4.4,23.9,15.9,3,0.667,3,0.333,2,0.0,0.2,0.316,1.3,1.0,0.7,0.0,0.0,0.3,2.3,2.0,3.0,8.8,81.2,101.0
Lindy Waters III,GOL,F,27.3,9,13.7,12.5,0.0,2,1.0,12,0.667,24,0.375,0.597,0.61,5.0,1.9,1.4,0.3,0.1,0.0,6.9,6.4,8.3,6.9,142.4,107.0
Jeremiah Robinson-Earl,NOR,F,24.0,10,17.3,13.7,15.3,9,1.0,28,0.464,16,0.438,0.534,0.584,5.6,3.3,0.8,0.6,0.1,0.8,8.9,6.4,9.7,5.7,117.1,117.4
Brandon Boston Jr.,NOR,G,23.0,7,25.6,18.3,7.1,16,0.875,42,0.571,23,0.391,0.577,0.618,12.7,3.0,3.0,1.1,0.3,0.7,15.7,15.7,18.7,7.6,130.1,119.6
Herbert Jones,NOR,F,26.1,4,28.3,11.6,16.5,2,0.5,14,0.714,11,0.182,0.52,0.522,6.8,2.5,1.0,1.8,0.3,1.3,9.3,7.8,10.3,3.6,97.5,116.0
Jaden Springer,BOS,G,22.1,4,4.1,18.2,16.1,2,0.5,3,0.333,2,0.0,0.2,0.255,0.8,1.0,0.3,0.5,0.0,0.3,1.8,1.0,2.0,6.1,74.1,100.8
Franz Wagner,ORL,F,23.2,11,29.1,29.2,12.4,42,0.833,123,0.528,53,0.34,0.523,0.563,19.9,5.1,4.5,1.4,0.2,2.3,25.0,24.5,29.5,10.6,111.1,103.2
Ziaire Williams,BRO,F,23.2,10,19.9,18.3,11.5,11,0.727,41,0.585,28,0.321,0.543,0.562,8.3,4.0,1.1,1.0,0.3,0.9,12.3,9.4,13.4,6.7,110.3,101.1
Ochai Agbaji,TOR,G,24.6,11,31.2,14.3,8.9,18,0.722,58,0.672,44,0.477,0.691,0.701,14.0,4.8,2.0,1.3,0.5,0.9,18.8,16.0,20.8,6.6,134.4,116.6
Chris Duarte,CHI,G,27.4,4,3.9,20.2,0.0,6,0.667,0,0.0,5,0.6,0.9,0.851,3.3,0.5,0.5,0.0,0.0,0.0,3.8,3.8,4.3,9.6,0.0,0.0
Kai Jones,LAC,C-F,23.8,9,8.3,10.6,24.6,5,0.6,12,0.667,0,0.0,0.667,0.669,2.1,1.9,0.3,0.0,0.7,0.4,4.0,2.4,4.3,5.1,121.1,105.1
Miles McBride,NYK,G,24.2,9,26.8,18.2,10.6,10,0.8,36,0.5,48,0.396,0.554,0.571,11.2,2.3,2.7,1.1,0.3,1.1,13.6,13.9,16.2,6.1,115.3,113.1
Moses Moody,GOL,G,22.4,10,16.6,21.1,11.5,14,0.714,28,0.536,41,0.463,0.63,0.645,9.7,2.0,1.1,0.4,0.1,0.9,11.7,10.8,12.8,6.7,120.8,108.5
Isaiah Jackson,IND,F,22.8,5,16.8,17.9,17.7,14,0.5,23,0.609,0,0.0,0.609,0.6,7.0,5.6,1.0,0.6,1.6,1.0,12.6,8.0,13.6,8.1,119.1,100.9
Tre Mann,CHA,G,23.8,10,25.1,25.5,13.1,17,1.0,77,0.481,49,0.388,0.52,0.554,14.8,2.9,3.3,0.7,0.3,1.9,17.7,18.1,21.0,8.3,112.3,112.1
Johnny Juzang,UTA,G,23.7,6,17.4,14.4,9.2,10,1.0,8,0.625,21,0.429,0.638,0.704,7.8,1.7,0.7,0.7,0.3,0.5,9.5,8.5,10.2,4.8,135.4,109.9
Justin Champagnie,WAS,G-F,23.4,1,3.9,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0
Jalen Johnson,ATL,F,22.9,11,36.5,24.0,17.6,54,0.704,120,0.517,53,0.302,0.497,0.534,19.1,10.0,4.9,1.4,0.9,3.4,29.1,24.0,34.0,10.7,103.6,112.6
Keon Johnson,BRO,G,22.7,9,11.7,19.8,15.4,5,0.8,17,0.471,21,0.286,0.447,0.473,4.2,2.7,0.9,0.3,0.2,0.8,6.9,5.1,7.8,7.4,92.8,100.3
Kessler Edwards,DAL,F,24.3,3,2.5,17.3,33.3,0,0.0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Corey Kispert,WAS,F,25.7,8,29.3,15.7,8.5,15,0.8,30,0.533,45,0.244,0.433,0.472,9.6,3.1,1.6,0.4,0.1,0.9,12.8,11.3,14.4,4.9,95.9,121.4
Davion Mitchell,TOR,G,26.2,11,28.0,16.2,20.6,13,0.692,47,0.574,45,0.267,0.489,0.507,9.0,2.6,6.0,0.9,0.4,2.2,11.6,15.0,17.6,7.4,105.4,116.5
Austin Reaves,LAL,G,26.5,10,34.3,22.0,14.4,36,0.778,63,0.619,73,0.37,0.585,0.616,18.7,4.5,5.2,1.4,0.4,2.3,23.2,23.9,28.4,8.9,118.0,111.4
Cam Thomas,BRO,G,23.1,10,34.6,32.2,12.5,67,0.91,117,0.496,78,0.321,0.49,0.561,25.2,3.0,3.2,0.9,0.0,2.8,28.2,28.4,31.4,7.2,107.7,112.8
Scottie Barnes,TOR,F-G,23.3,4,33.6,27.1,20.2,23,0.739,52,0.519,11,0.182,0.476,0.527,19.3,7.8,6.0,2.0,0.5,4.0,27.0,25.3,33.0,11.5,103.3,114.2
Sandro Mamukelashvili,SAN,F-C,25.5,8,7.6,19.8,25.5,1,1.0,8,0.75,12,0.5,0.75,0.758,3.9,2.6,0.3,0.1,0.5,0.9,6.5,4.1,6.8,7.6,107.8,103.4
Sam Hauser,BOS,F,26.9,8,20.5,16.3,4.8,0,0.0,11,0.636,48,0.292,0.475,0.475,7.0,3.9,1.4,0.8,0.1,0.4,10.9,8.4,12.3,6.6,107.2,106.9
Ariel Hukporti,NYK,C,22.6,5,6.4,6.9,60.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.8,0.6,1.8,0.0,1.8,0.0,0.0,96.5
Julian Champagnie,SAN,F,23.4,10,27.9,15.8,13.1,5,0.8,26,0.654,60,0.367,0.581,0.59,10.4,5.3,1.7,0.7,0.5,1.3,15.7,12.1,17.4,6.5,110.6,110.3
Alperen Sengun,HOU,C,22.3,10,28.4,26.6,12.3,48,0.729,127,0.48,15,0.267,0.472,0.518,16.9,11.0,3.9,1.0,1.1,2.0,27.9,20.8,31.8,12.7,112.8,97.3
Jericho Sims,NYK,C,26.1,9,13.3,5.9,40.0,2,0.0,9,0.667,0,0.0,0.667,0.607,1.3,3.8,0.3,0.2,0.3,0.7,5.1,1.7,5.4,3.4,111.3,106.8
Josh Giddey,CHI,G,22.1,10,28.7,22.6,18.5,39,0.641,81,0.42,33,0.424,0.482,0.515,13.5,6.5,7.0,0.8,0.1,2.6,20.0,20.5,27.0,11.8,108.9,113.6
Santi Aldama,MEM,F-C,23.8,11,30.1,17.4,12.4,13,1.0,67,0.642,53,0.264,0.533,0.561,12.8,7.6,3.7,0.7,0.5,1.5,20.5,16.5,24.2,9.5,115.2,107.2
Scotty Pippen Jr.,MEM,G,24.0,11,25.5,19.3,22.9,27,0.778,62,0.565,32,0.438,0.596,0.628,12.1,4.2,6.5,1.0,0.5,2.5,16.3,18.5,22.7,10.8,118.5,98.9
Jalen Suggs,ORL,G,23.4,11,29.2,23.6,18.9,32,0.906,62,0.565,71,0.324,0.523,0.571,15.3,5.2,4.2,1.5,1.0,2.8,20.5,19.5,24.6,9.5,104.6,101.4
Jalen Wilson,BRO,F,24.0,10,21.6,16.8,13.6,21,0.857,30,0.667,33,0.212,0.484,0.547,7.9,3.4,2.0,0.3,0.0,1.0,11.3,9.9,13.3,7.0,113.3,110.2
Cade Cunningham,DET,G,23.1,11,36.1,30.5,19.7,42,0.786,152,0.52,60,0.35,0.521,0.551,23.1,7.3,8.3,0.5,0.8,4.7,30.4,31.4,38.6,12.4,105.7,107.2
Evan Mobley,CLE,C,23.4,11,29.9,24.7,13.1,43,0.767,125,0.592,20,0.35,0.583,0.616,18.4,8.5,2.7,1.1,1.8,2.0,26.9,21.1,29.6,10.0,118.4,102.1
Aaron Wiggins,OKC,G,25.9,10,20.7,19.0,7.6,5,1.0,53,0.491,32,0.469,0.571,0.585,10.2,4.0,2.0,1.0,0.3,0.7,14.2,12.2,16.2,8.4,119.1,100.2
Gui Santos,GOL,F,22.4,5,4.0,12.3,38.3,2,0.5,1,1.0,2,0.5,0.833,0.773,1.2,1.0,0.4,0.0,0.0,0.4,2.2,1.6,2.6,7.8,110.0,96.2
D.J. Carton,TOR,G,24.3,4,8.4,14.0,35.0,1,1.0,4,0.25,3,0.0,0.143,0.202,0.8,1.0,0.8,0.5,0.0,1.0,1.8,1.5,2.5,4.1,43.2,122.3
Dalano Banton,POR,F,25.0,9,10.5,32.3,9.5,27,0.667,40,0.55,17,0.294,0.518,0.559,8.6,1.3,1.7,1.0,0.3,0.7,9.9,10.2,11.6,10.2,115.6,111.8
Jose Alvarado,NOR,G,26.6,10,26.3,18.8,11.9,17,0.824,40,0.4,56,0.411,0.526,0.556,11.5,2.4,4.9,1.6,0.3,1.3,13.9,16.4,18.8,7.8,119.1,114.3
Jay Huff,MEM,C,27.2,11,15.7,18.7,8.2,15,1.0,23,0.783,44,0.477,0.739,0.774,10.4,2.7,0.8,0.3,1.9,0.5,13.1,11.2,13.9,7.2,143.6,104.2
Mac McClung,ORL,G,25.8,1,4.9,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,112.8
Dru Smith,MIA,G,26.9,4,7.0,12.4,25.0,0,0.0,5,0.4,1,0.0,0.333,0.333,1.0,1.8,0.5,0.0,1.0,0.5,2.8,1.5,3.3,5.5,76.4,106.0
MarJon Beauchamp,MIL,F,24.1,7,3.6,36.6,25.7,4,1.0,8,0.5,6,0.167,0.393,0.476,2.1,0.9,0.1,0.1,0.0,0.7,3.0,2.3,3.1,6.4,0.0,0.0
Dyson Daniels,ATL,G,21.7,9,32.2,17.9,9.1,14,0.5,73,0.534,36,0.278,0.495,0.499,12.8,4.4,2.4,3.3,0.8,1.2,17.2,15.2,19.7,6.4,101.8,110.6
Jaden Hardy,DAL,G,22.4,9,10.9,20.2,22.0,2,1.0,11,0.364,24,0.292,0.414,0.432,3.4,0.9,1.0,0.2,0.1,1.1,4.3,4.4,5.3,5.3,80.9,109.0
Scoot Henderson,POR,G,20.8,11,25.9,23.4,21.4,33,0.818,84,0.452,33,0.273,0.44,0.494,11.8,2.9,4.8,0.8,0.0,2.9,14.7,16.6,19.5,8.5,96.9,112.4
Keaton Wallace,ATL,G,25.7,9,14.5,15.4,19.0,4,1.0,21,0.571,17,0.412,0.592,0.616,5.4,1.3,1.1,0.9,0.6,1.0,6.8,6.6,7.9,5.5,104.4,115.7
Jaden Ivey,DET,G,22.7,11,32.2,26.8,18.4,47,0.723,110,0.5,54,0.37,0.518,0.552,18.5,4.5,3.5,0.8,0.5,3.4,23.1,22.1,26.6,8.2,102.9,107.3
Paolo Banchero,ORL,F,22.0,5,36.4,31.3,10.2,59,0.644,65,0.569,32,0.344,0.552,0.59,29.0,8.8,5.6,0.6,0.8,2.2,37.8,34.6,43.4,12.4,119.9,104.6
Jabari Smith Jr.,HOU,F,21.5,10,28.5,16.7,8.5,22,0.818,52,0.538,45,0.267,0.474,0.516,11.0,6.7,0.8,0.4,0.5,0.9,17.7,11.8,18.5,5.5,111.8,104.3
Chet Holmgren,OKC,C-F,22.5,10,26.5,24.6,17.1,49,0.776,74,0.568,37,0.378,0.568,0.619,16.4,8.7,2.0,0.8,2.6,2.3,25.1,18.4,27.1,9.9,113.4,95.5
Bennedict Mathurin,IND,G-F,22.4,10,30.4,22.5,11.6,61,0.803,76,0.579,38,0.5,0.636,0.689,19.4,6.1,1.9,0.5,0.1,1.5,25.5,21.3,27.4,8.0,129.5,112.3
Johnny Davis,WAS,G,22.7,7,8.7,14.9,4.7,2,0.5,18,0.5,2,0.5,0.525,0.527,3.1,1.4,0.3,0.1,0.0,0.1,4.6,3.4,4.9,5.0,108.7,112.9
Keegan Murray,SAC,F,24.2,10,38.1,15.9,5.3,21,0.857,61,0.59,63,0.286,0.508,0.54,14.4,9.0,1.8,0.4,0.7,0.7,23.4,16.2,25.2,6.5,118.6,105.7
Malaki Branham,SAN,F,21.5,9,16.3,23.7,18.0,18,0.833,34,0.529,25,0.52,0.636,0.672,10.0,1.9,1.1,0.6,0.2,1.4,11.9,11.1,13.0,6.8,113.0,112.8
Blake Wesley,SAN,G,21.7,9,11.4,21.1,21.6,9,0.778,27,0.481,9,0.222,0.444,0.488,4.3,0.6,2.0,0.4,0.0,1.1,4.9,6.3,6.9,6.1,96.8,111.5
Jalen Duren,DET,C,21.0,9,23.4,12.5,30.6,21,0.571,36,0.833,0,0.0,0.833,0.796,8.0,9.7,2.4,0.3,1.2,1.8,17.7,10.4,20.1,9.8,132.3,98.2
Tari Eason,HOU,F,23.5,10,22.2,19.1,9.3,16,0.625,58,0.621,29,0.414,0.621,0.627,11.8,5.1,1.2,1.8,1.0,0.9,16.9,13.0,18.1,7.5,126.5,99.3
Nikola Jovic,MIA,F,21.4,9,19.7,18.8,9.7,12,0.75,33,0.545,32,0.344,0.531,0.555,8.7,4.2,1.4,1.1,0.1,0.8,12.9,10.1,14.3,7.5,111.9,105.9
Max Christie,LAL,G,21.8,10,13.1,14.6,15.2,12,0.917,16,0.375,17,0.294,0.409,0.496,3.8,1.8,1.0,0.5,0.2,0.6,5.6,4.8,6.6,5.8,103.6,109.5
Jeremy Sochan,SAN,F,21.5,7,29.3,23.9,15.6,25,0.68,74,0.554,12,0.25,0.529,0.557,15.4,7.7,3.0,1.0,0.4,2.3,23.1,18.4,26.1,9.7,108.7,103.0
Wendell Moore Jr.,DET,G,23.1,3,2.6,10.8,50.0,0,0.0,1,1.0,0,0.0,1.0,1.0,0.7,0.3,0.3,0.0,0.0,0.3,1.0,1.0,1.3,6.1,0.0,0.0
Jalen Williams,OKC,G-F,23.6,10,31.9,25.5,13.1,25,0.68,112,0.536,47,0.383,0.547,0.562,19.1,6.2,4.9,1.9,0.9,2.4,25.3,24.0,30.2,10.5,109.0,95.5
Patrick Baldwin Jr.,WAS,F,22.0,6,5.9,22.2,5.5,2,0.5,8,0.5,9,0.333,0.5,0.503,3.0,1.2,0.2,0.3,0.2,0.2,4.2,3.2,4.3,6.1,100.9,114.9
Walker Kessler,UTA,C,23.3,9,26.4,13.2,22.6,23,0.565,51,0.686,0,0.0,0.686,0.679,9.2,10.7,1.0,0.4,2.8,1.7,19.9,10.2,20.9,7.0,119.9,108.5
JD Davison,BOS,G,22.1,3,4.8,26.4,48.7,2,0.5,2,0.5,2,0.0,0.25,0.307,1.0,0.3,0.3,0.3,0.0,1.3,1.3,1.3,1.7,3.7,40.4,104.7
Julian Strawther,DEN,G,22.6,10,21.4,18.0,14.1,16,0.75,37,0.568,36,0.361,0.555,0.581,9.3,2.0,1.5,1.0,0.4,1.2,11.3,10.8,12.8,5.7,109.4,105.1
Christian Braun,DEN,G,23.6,10,35.3,15.8,10.2,37,0.811,70,0.586,35,0.486,0.633,0.672,16.3,5.4,1.6,0.9,0.9,1.2,21.7,17.9,23.3,5.9,129.2,111.4
Jabari Walker,POR,F,22.3,10,9.0,15.7,12.7,8,0.875,18,0.5,9,0.222,0.444,0.508,3.1,2.7,0.3,0.2,0.1,0.4,5.8,3.4,6.1,6.0,106.6,107.3
Ryan Rollins,MIL,G,22.4,8,5.7,17.0,30.6,4,0.75,7,0.571,4,0.5,0.636,0.666,2.1,0.8,0.8,0.3,0.5,0.6,2.9,2.9,3.6,7.7,109.7,105.8
Keon Ellis,SAC,G,24.8,9,20.9,10.6,14.5,12,0.833,13,0.769,22,0.364,0.629,0.67,6.0,2.0,1.0,1.4,0.9,0.7,8.0,7.0,9.0,4.4,129.0,102.8
Jaime Jaquez Jr.,MIA,G,23.7,6,23.6,21.0,17.4,13,0.538,38,0.342,14,0.5,0.452,0.468,9.0,7.2,2.2,0.8,0.2,1.8,16.2,11.2,18.3,8.9,96.5,105.8
Ousmane Dieng,OKC,F,21.5,10,12.4,16.0,2.3,7,0.714,18,0.5,25,0.28,0.453,0.477,4.4,3.2,1.0,0.7,0.3,0.1,7.6,5.4,8.6,7.8,110.6,96.0
Kris Murray,POR,F,24.2,11,13.4,13.7,13.9,15,0.4,22,0.455,15,0.4,0.514,0.505,4.0,2.5,0.8,0.5,0.1,0.5,6.5,4.8,7.4,6.0,105.8,115.2
Marcus Sasser,DET,G,24.1,4,6.4,6.7,25.0,0,0.0,2,1.0,1,0.0,0.667,0.667,1.0,0.5,0.8,0.3,0.0,0.3,1.5,1.8,2.3,4.6,125.9,113.6
Dalen Terry,CHI,F,22.3,10,12.8,14.7,20.3,15,0.733,21,0.571,10,0.2,0.484,0.545,4.1,2.0,1.0,0.5,0.5,0.8,6.1,5.1,7.1,6.3,107.5,107.6
Jacob Toppin,NYK,F,24.5,3,3.3,8.9,0.0,0,0.0,1,1.0,1,0.0,0.5,0.5,0.7,0.3,0.3,0.0,0.0,0.0,1.0,1.0,1.3,4.8,0.0,0.0
Peyton Watson,DEN,G,22.2,10,23.3,15.7,7.8,23,0.739,48,0.417,23,0.391,0.472,0.518,8.4,3.1,1.0,0.9,1.0,0.6,11.5,9.4,12.5,5.1,111.3,109.4
Caleb Houstan,ORL,G,21.8,7,5.3,13.7,0.0,0,0.0,3,0.333,9,0.222,0.333,0.333,1.1,0.7,0.0,0.0,0.1,0.0,1.9,1.1,1.9,0.0,76.0,97.5
Moussa Diabate,CHA,F,22.8,10,14.2,9.6,27.4,8,0.375,21,0.571,0,0.0,0.571,0.551,2.7,6.2,0.4,0.2,0.5,0.8,8.9,3.1,9.3,5.3,108.8,104.5
Trayce Jackson-Davis,GOL,F,24.7,10,16.8,15.3,8.7,10,0.7,52,0.692,0,0.0,0.692,0.7,7.9,4.3,2.3,0.1,0.5,0.5,12.2,10.2,14.5,10.2,143.4,103.8
Collin Gillespie,PHO,G,25.4,1,3.5,25.4,0.0,0,0.0,1,0.0,1,1.0,0.75,0.75,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0
Jake LaRavia,MEM,F,23.0,11,26.2,14.2,17.9,28,0.571,44,0.568,29,0.379,0.568,0.58,9.0,5.5,3.8,0.9,0.5,1.5,14.5,12.8,18.4,8.7,119.2,103.2
David Roddy,ATL,F,23.6,9,20.3,13.5,22.1,13,0.846,21,0.667,21,0.429,0.655,0.692,7.3,4.3,2.1,0.7,0.2,1.3,11.7,9.4,13.8,8.0,118.8,114.8
Mouhamed Gueye,ATL,F,22.0,2,5.7,18.0,20.0,0,0.0,2,0.5,2,0.0,0.25,0.25,1.0,1.0,0.0,0.0,0.0,0.5,2.0,1.0,2.0,0.0,41.5,123.6
Quenton Jackson,IND,G,26.2,3,11.8,15.9,16.1,2,1.0,6,0.667,4,0.25,0.55,0.597,4.3,1.3,1.7,0.3,0.0,0.7,5.7,6.0,7.3,7.2,117.2,111.7
Baylor Scheierman,BOS,G,24.1,3,6.0,16.5,0.0,2,1.0,2,0.5,4,0.0,0.167,0.291,1.3,1.3,0.0,0.0,0.0,0.0,2.7,1.3,2.7,0.0,76.8,101.7
Karlo Matkovic,NOR,F-C,23.6,2,2.4,27.1,66.7,0,0.0,1,1.0,0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.5,1.0,3.0,1.0,3.0,0.0,0.0,0.0
A.J. Green,MIL,G,25.1,9,15.6,13.1,7.2,2,1.0,0,0.0,38,0.605,0.908,0.913,7.9,1.2,0.7,0.6,0.0,0.3,9.1,8.6,9.8,4.8,159.8,116.4
Jamal Cain,NOR,F,25.6,7,10.7,15.2,16.5,6,0.667,9,0.556,11,0.364,0.55,0.574,3.7,1.7,0.1,0.1,0.3,0.6,5.4,3.9,5.6,3.2,104.9,112.4
Lester Quinones,PHI,G,24.0,2,2.5,21.2,0.0,1,1.0,1,1.0,1,0.0,0.5,0.615,1.5,1.5,0.5,0.0,0.0,0.0,3.0,2.0,3.5,16.6,0.0,0.0
Simone Fontecchio,DET,F,28.9,11,18.7,14.5,9.9,21,0.81,18,0.444,36,0.306,0.454,0.522,6.0,3.7,0.7,0.2,0.1,0.5,9.7,6.7,10.5,5.3,110.5,110.0
Nate Williams,HOU,G,25.7,1,2.2,18.8,0.0,0,0.0,0,0.0,1,1.0,1.5,1.5,3.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,0.0,0.0,0.0
Victor Wembanyama,SAN,F-C,20.9,10,31.0,28.9,19.4,36,0.917,82,0.549,71,0.282,0.49,0.542,18.3,10.2,2.4,1.4,4.0,3.7,28.5,20.7,30.9,9.9,98.5,103.5
Brandon Miller,CHA,F,22.0,6,27.6,24.6,10.0,16,0.938,30,0.5,51,0.373,0.537,0.579,17.0,4.3,3.3,1.0,0.7,1.5,21.3,20.3,24.7,9.0,120.2,110.3
Taylor Hendricks,UTA,F,21.0,3,24.8,12.0,9.8,4,0.75,6,0.167,12,0.25,0.306,0.354,4.7,5.0,0.7,1.7,1.3,0.7,9.7,5.3,10.3,4.1,85.7,107.4
Amen Thompson,HOU,G-F,21.8,10,24.1,17.4,18.1,31,0.774,60,0.583,12,0.167,0.528,0.584,10.0,5.9,2.1,0.7,0.4,1.6,15.9,12.1,18.0,8.3,114.3,102.6
Anthony Black,ORL,G,20.8,11,24.6,16.5,24.4,25,0.72,50,0.5,21,0.333,0.5,0.543,8.1,2.7,4.1,0.6,0.9,2.1,10.8,12.2,14.9,7.3,104.0,102.9
Gradey Dick,TOR,G-F,21.0,11,31.9,22.6,8.4,36,0.889,90,0.533,73,0.37,0.543,0.584,19.0,2.4,2.3,1.1,0.5,1.4,21.4,21.3,23.6,5.9,117.3,121.1
Rayan Rupert,POR,G-F,20.4,10,11.8,14.4,12.4,4,0.5,20,0.6,15,0.4,0.6,0.598,4.4,1.8,0.2,0.6,0.1,0.5,6.2,4.6,6.4,4.0,111.3,112.3
Cam Whitmore,HOU,F,20.3,7,10.5,29.3,6.3,12,0.667,26,0.615,18,0.056,0.398,0.436,6.1,1.6,0.4,0.1,0.1,0.4,7.7,6.6,8.1,6.0,95.9,104.3
Jarace Walker,IND,F,21.2,10,13.7,17.0,15.9,7,0.714,20,0.55,22,0.409,0.583,0.599,5.4,2.6,1.0,1.0,0.3,0.8,8.0,6.4,9.0,7.0,109.1,107.2
